Edge ID,SCATS_Source,SCATS_Target
A001,970,3685
A002,970,2000
A003,970,4043
A004,2000,970
A005,2846,2000
A006,2000,2846
A007,2200,3126
A008,4335,2820
A009,2820,4335
A010,2825,4030
A011,2825,2827
A012,2827,3180
A013,4057,2827
A014,4051,2827
A015,2846,970
A016,2846,4043
A017,2846,3685
A018,2846,3812
A019,3001,4262
A020,4812,3001
A021,3002,4324
A022,3002,3001
A023,3002,3662
A024,3002,4263
A025,3120,4035
A026,3120,3122
A027,3122,3804
A028,3126,2200
A029,3127,3126
A030,3127,3122
A031,3180,2827
A032,3662,4335
A033,3662,3001
A034,3662,2820
A035,3682,3126
A036,3127,3682
A037,3682,2200
A038,3682,2000
A039,3685,2000
A040,3682,3685
A041,3127,3804
A042,3804,3122
A043,3812,4272
A044,3812,4043
A045,4272,3812
A046,3812,3804
A047,4030,2825
A048,4030,4032
A049,4032,4321
A050,4032,4030
A051,4034,4032
A052,4034,4035
A053,4034,4324
A054,4266,4035
A055,4035,3120
A056,3122,4035
A057,4040,3120
A058,4040,3812
A059,4040,3804
A060,4040,3122
A061,4266,4040
A062,4040,4043
A063,4043,970
A064,4272,4043
A065,3180,4051
A066,4051,4030
A067,4051,4032
A068,4057,3180
A069,4057,4063
A070,4057,2200
A071,4057,4032
A072,4063,4057
A073,4063,3127
A074,4063,2200
A075,4063,4034
A076,4262,3001
A077,4263,4264
A078,4263,4262
A079,4263,4821
A080,4264,4263
A081,3002,4264
A082,4266,4324
A083,4272,4266
A084,4266,3120
A085,4266,4264
A086,4270,4264
A087,4273,4270
A088,4272,4040
A089,4272,4270
A090,4272,4273
A091,4273,4043
A092,4321,4032
A093,4321,4030
A094,4321,4324
A095,4321,4335
A096,4324,3002
A097,3662,4324
A098,4324,4264
A099,4263,4812
A100,4812,4262
A101,4821,4270
A102,4821,4264
A103,4821,4812
