Edge ID,SCATS_Source,SCATS_Target,Source,Target,Path Length (m),Path Nodes
A001,970,3685,9242283050,12200070378,1399.98,"9242283050 ,12200070294 ,9242283052 ,3329752950 ,3329752956 ,28175468 ,10747543086 ,1655379418 ,10747542950 ,12200070301 ,10747542954 ,12200070300 ,1655379406 ,10747542955 ,1655379425 ,10747542959 ,1655379408 ,12200070249 ,8601222042 ,12200070248 ,1655379414 ,1655379410 ,1655379401 ,1655379421 ,1655379399 ,1655379386 ,1655379416 ,1655379397 ,1655379391 ,1655379404 ,5670473267 ,1655379403 ,5670473269 ,10747508596 ,1746254517 ,10747552309 ,1746254516 ,1655379395 ,10747508599 ,1655379423 ,1655379393 ,867667394 ,1655366136 ,12200069570 ,12200069571 ,12200069572 ,10740306723 ,12200070378"
A002,970,2000,9242283050,12200070399,1751.63,"9242283050 ,12200070294 ,9242283052 ,3329752950 ,3329752956 ,28175468 ,10747543086 ,1655379418 ,10747542950 ,12200070301 ,10747542954 ,12200070300 ,1655379406 ,10747542955 ,1655379425 ,10747542959 ,1655379408 ,12200070249 ,8601222042 ,12200070248 ,1655379414 ,1655379410 ,1655379401 ,1655379421 ,1655379399 ,1655379386 ,1655379416 ,1655379397 ,1655379391 ,1655379404 ,5670473267 ,1655379403 ,5670473269 ,10747508596 ,1746254517 ,10747552309 ,1746254516 ,1655379395 ,10747508599 ,1655379423 ,1655379393 ,867667394 ,1655366136 ,12200069570 ,12200069571 ,12200069572 ,10740306723 ,12200070378 ,1833972829 ,10740306724 ,1655366138 ,12200069584 ,12200069574 ,1655366140 ,1655367883 ,12200069576 ,1655367877 ,1655367899 ,12130721158 ,1454533495 ,9406051239 ,12198918980 ,1453758596 ,1453758839 ,1453758680 ,1453758712 ,12200070399"
A003,970,4043,9242283050,12133740668,5190.1,"9242283050 ,12200070294 ,9242283052 ,3329752950 ,3329752956 ,28175468 ,10747543086 ,1655379418 ,10747542950 ,12200070344 ,10747542949 ,10747542948 ,10747542947 ,12200070343 ,10747542946 ,10142792595 ,12200070336 ,12200070316 ,256668496 ,12200070237 ,12200070239 ,12200070291 ,12200070238 ,12200070244 ,12200070226 ,12200070225 ,256668538 ,12200070224 ,12200070223 ,12200070222 ,12200070221 ,12200070208 ,256668553 ,12200070261 ,12200070170 ,256668552 ,12187741851 ,12187741855 ,12187741869 ,12187741859 ,12187741856 ,256668533 ,12187741857 ,12187741865 ,12187741841 ,12187741842 ,1893309766 ,12200070165 ,256678232 ,12200070164 ,12187742035 ,1919642799 ,12187741992 ,1387184668 ,12187741920 ,12187741921 ,256678245 ,1387184654 ,12187741986 ,256678237 ,256678259 ,12187741987 ,256678101 ,29764445 ,256678120 ,1746413210 ,1746413205 ,73117933 ,1746413185 ,1746413220 ,1746413221 ,1746413195 ,1746413177 ,1746413181 ,312944250 ,1746413183 ,1746413197 ,1746413191 ,1746413184 ,29764437 ,12199530074 ,1746413219 ,312944361 ,1739905154 ,312944251 ,1739905182 ,1739905187 ,1746249365 ,73116068 ,1746555928 ,312944398 ,1746555889 ,1746555932 ,1746555973 ,256679037 ,1746555938 ,12187742049 ,256679057 ,12187742050 ,12187742061 ,256679113 ,12187742062 ,12187742063 ,12187742064 ,256679114 ,12187742065 ,12187742066 ,12199525549 ,12199529602 ,1838757418 ,708578114 ,12199525581 ,12199525546 ,12199525545 ,256679061 ,12199525544 ,614531990 ,12199525543 ,614531989 ,614532002 ,12199525531 ,12199525530 ,273758522 ,12199525529 ,614532120 ,12199525526 ,12199525527 ,614533230 ,614533037 ,12199525540 ,12199525525 ,614533049 ,12199525524 ,1890931464 ,614533050 ,1454688041 ,8173458990 ,1890931459 ,10747514684 ,2975323012 ,2185303499 ,9888642484 ,9359919807 ,338859264 ,73108589 ,12171865826 ,9359919806 ,7429864446 ,310682737 ,1454703645 ,1454703655 ,4264566388 ,273759522 ,12171865656 ,1454703658 ,10118163309 ,12000080387 ,2324025401 ,309625885 ,309626001 ,309625811 ,7428918610 ,9359898279 ,12134478449 ,28829623 ,12134478446 ,9359898277 ,9359898278 ,7428918609 ,309626721 ,309626719 ,309626616 ,444664520 ,309626736 ,9499321653 ,312656660 ,309626774 ,312657237 ,309626804 ,444664521 ,10740505223 ,312680105 ,315988177 ,10740505208 ,315988431 ,28829624 ,10740505240 ,10740505259 ,1326074421 ,9128520167 ,9359895001 ,12133740673 ,4122894840 ,21643702 ,12133740668"
A004,2000,970,12200070399,9242283050,1751.63,"9242283050 ,12200070294 ,9242283052 ,3329752950 ,3329752956 ,28175468 ,10747543086 ,1655379418 ,10747542950 ,12200070301 ,10747542954 ,12200070300 ,1655379406 ,10747542955 ,1655379425 ,10747542959 ,1655379408 ,12200070249 ,8601222042 ,12200070248 ,1655379414 ,1655379410 ,1655379401 ,1655379421 ,1655379399 ,1655379386 ,1655379416 ,1655379397 ,1655379391 ,1655379404 ,5670473267 ,1655379403 ,5670473269 ,10747508596 ,1746254517 ,10747552309 ,1746254516 ,1655379395 ,10747508599 ,1655379423 ,1655379393 ,867667394 ,1655366136 ,12200069570 ,12200069571 ,12200069572 ,10740306723 ,12200070378 ,1833972829 ,10740306724 ,1655366138 ,12200069584 ,12200069574 ,1655366140 ,1655367883 ,12200069576 ,1655367877 ,1655367899 ,12130721158 ,1454533495 ,9406051239 ,12198918980 ,1453758596 ,1453758839 ,1453758680 ,1453758712 ,12200070399"
A005,2846,2000,10271039135,12200070399,2588.32,"10271039135 ,1746555974 ,2923012605 ,2155538016 ,604127754 ,719416780 ,1746555966 ,1746555961 ,1746555875 ,12187706071 ,1746555865 ,1746555963 ,1746555955 ,1746555962 ,1746555880 ,1746555967 ,1746555954 ,1746555981 ,12187706060 ,256678324 ,2155539592 ,256678350 ,1746555921 ,1746555864 ,1746555947 ,1746555935 ,1746555979 ,1746555908 ,1746555873 ,1746555980 ,1746555869 ,1746555876 ,1746555948 ,1746555894 ,1746555913 ,1746555884 ,1746555985 ,1746555941 ,1746555971 ,12187741888 ,256679000 ,1746555958 ,1746555914 ,1746555956 ,1746555905 ,312944249 ,1746555984 ,1746413187 ,1746413182 ,256679001 ,12187741889 ,1746413188 ,1746413216 ,1746413196 ,1746413178 ,1746413185 ,73117933 ,1746413205 ,1746413210 ,256678120 ,29764445 ,256678101 ,29764449 ,73117100 ,256668587 ,12199530122 ,12199530130 ,12199530131 ,12199530132 ,12199530133 ,12200070139 ,12199530134 ,12199530135 ,12199530123 ,29764687 ,10564713608 ,12199530140 ,29764686 ,12199530141 ,10564713607 ,29764685 ,460405971 ,470316380 ,1746253856 ,1746253965 ,1746253884 ,272621557 ,12199530225 ,272621556 ,12199530180 ,272621555 ,12199530181 ,272621554 ,12199530182 ,272621553 ,12199530183 ,272621552 ,272621551 ,12199530184 ,12199530185 ,272621550 ,867667636 ,1454533508 ,12198918971 ,1454676767 ,272621549 ,1454676808 ,1454676792 ,1454676768 ,92371526 ,271867911 ,1454676807 ,10747568892 ,11033540581 ,9406051240 ,11033540580 ,261560358 ,1454676799 ,11033540583 ,1453758712 ,12200070399"
A006,2000,2846,12200070399,10271039135,2588.32,"12200070399 ,1453758712 ,11033540583 ,1454676799 ,261560358 ,11033540580 ,9406051240 ,11033540581 ,10747568892 ,1454676807 ,271867911 ,92371526 ,1454676768 ,1454676792 ,1454676808 ,272621549 ,1454676767 ,12198918971 ,1454533508 ,867667636 ,272621550 ,12199530185 ,12199530184 ,272621551 ,272621552 ,12199530183 ,272621553 ,12199530182 ,272621554 ,12199530181 ,272621555 ,12199530180 ,272621556 ,12199530225 ,272621557 ,1746253884 ,1746253965 ,1746253856 ,470316380 ,460405971 ,29764685 ,10564713607 ,12199530141 ,29764686 ,12199530140 ,10564713608 ,29764687 ,12199530123 ,12199530135 ,12199530134 ,12200070139 ,12199530133 ,12199530132 ,12199530131 ,12199530130 ,12199530122 ,256668587 ,73117100 ,29764449 ,256678101 ,29764445 ,256678120 ,1746413210 ,1746413205 ,73117933 ,1746413185 ,1746413178 ,1746413196 ,1746413216 ,1746413188 ,12187741889 ,256679001 ,1746413182 ,1746413187 ,1746555984 ,312944249 ,1746555905 ,1746555956 ,1746555914 ,1746555958 ,256679000 ,12187741888 ,1746555971 ,1746555941 ,1746555985 ,1746555884 ,1746555913 ,1746555894 ,1746555948 ,1746555876 ,1746555869 ,1746555980 ,1746555873 ,1746555908 ,1746555979 ,1746555935 ,1746555947 ,1746555864 ,1746555921 ,256678350 ,2155539592 ,256678324 ,12187706060 ,1746555981 ,1746555954 ,1746555967 ,1746555880 ,1746555962 ,1746555955 ,1746555963 ,1746555865 ,12187706071 ,1746555875 ,1746555961 ,1746555966 ,719416780 ,604127754 ,2155538016 ,2923012605 ,1746555974 ,10271039135"
A007,2200,3126,9408676170,12154642419,1462.85,"9408676170 ,2245992526 ,29960476 ,2245992564 ,9408676172 ,9408697681 ,9128520138 ,7824606361 ,7346752794 ,314498921 ,30948680 ,10823604334 ,5196080970 ,5196080974 ,26931600 ,5196080973 ,11944380124 ,11942026409 ,10823604335 ,1551144094 ,317123325 ,30948683 ,9236554821 ,7150394559 ,314483040 ,317123561 ,314485516 ,11922434311 ,11942026399 ,765640496 ,12154637775 ,264257850 ,12154641851 ,765636987 ,314490751 ,314490750 ,314490845 ,12542573675 ,1912289074 ,314490646 ,314490472 ,12154621688 ,314490408 ,5158278052 ,5158278049 ,12154642419"
A008,4335,2820,11416925529,9070355555,1779.35,"11416925529 ,11416925542 ,11416925544 ,9128520053 ,9728374337 ,3207124707 ,2247594812 ,2247591100 ,11416925337 ,11416925497 ,2247591116 ,3207124701 ,309991314 ,3207124680 ,309984734 ,309984713 ,3207120855 ,2938993261 ,3207120854 ,3207120853 ,11373792844 ,3207120851 ,11373792845 ,3207120848 ,1657067346 ,3207120847 ,11375018705 ,309984472 ,3207120845 ,11373792834 ,11499213051 ,3207120844 ,11373792835 ,11373792836 ,11375018736 ,11373792837 ,11373792838 ,309983233 ,11375018633 ,127377429 ,10679537284 ,11373782455 ,127377428 ,9944091535 ,10679537279 ,127371145 ,2093260263 ,127371146 ,11375017552 ,5306167112 ,127371147 ,127372113 ,11373330540 ,11373330553 ,127372111 ,127369229 ,127369225 ,11288748842 ,127422134 ,11373330559 ,2421241632 ,127369224 ,127369223 ,11015567473 ,127413037 ,11373330564 ,7324931746 ,7433815800 ,2407880670 ,3374118775 ,9070355554 ,127362670 ,9070355555"
A009,2820,4335,9070355555,11416925529,1779.35,"11416925529 ,11416925542 ,11416925544 ,9128520053 ,9728374337 ,3207124707 ,2247594812 ,2247591100 ,11416925337 ,11416925497 ,2247591116 ,3207124701 ,309991314 ,3207124680 ,309984734 ,309984713 ,3207120855 ,2938993261 ,3207120854 ,3207120853 ,11373792844 ,3207120851 ,11373792845 ,3207120848 ,1657067346 ,3207120847 ,11375018705 ,309984472 ,3207120845 ,11373792834 ,11499213051 ,3207120844 ,11373792835 ,11373792836 ,11375018736 ,11373792837 ,11373792838 ,309983233 ,11375018633 ,127377429 ,10679537284 ,11373782455 ,127377428 ,9944091535 ,10679537279 ,127371145 ,2093260263 ,127371146 ,11375017552 ,5306167112 ,127371147 ,127372113 ,11373330540 ,11373330553 ,127372111 ,127369229 ,127369225 ,11288748842 ,127422134 ,11373330559 ,2421241632 ,127369224 ,127369223 ,11015567473 ,127413037 ,11373330564 ,7324931746 ,7433815800 ,2407880670 ,3374118775 ,9070355554 ,127362670 ,9070355555"
A010,2825,4030,3653386435,9167202758,1353.07,"3653386435 ,279113058 ,279113059 ,11397870956 ,279113060 ,11397870955 ,279113061 ,11397870954 ,279113062 ,11397870953 ,11397871130 ,4193334598 ,11397871127 ,11397871129 ,279114342 ,11397870952 ,279114343 ,279114344 ,279114345 ,11397870951 ,279116257 ,279114346 ,279114347 ,279114348 ,279114349 ,11397870937 ,279114350 ,11397870936 ,11397870935 ,279114726 ,279114727 ,11397870931 ,11397870930 ,279115051 ,279115052 ,279115053 ,11397871021 ,279115054 ,11397871022 ,11397870866 ,279115055 ,11397870867 ,279115056 ,11397870868 ,11397870869 ,279115057 ,6207204080 ,347261738 ,339612139 ,6207452797 ,347261765 ,10825660946 ,347261791 ,4679485408 ,279115059 ,2247951187 ,279115060 ,2247951179 ,476257254 ,11016983411 ,11016983412 ,11016983413 ,10558599231 ,11016980001 ,2407795363 ,470755762 ,2407772783 ,9167202789 ,9167202788 ,10558599229 ,10558599235 ,9167202758"
